look | смотреть
look forward | ожидать
look after | присматривать
look up | искать
look out | осторожно
dog | собака
cat | кошка
window | окно
house | дом
car | машина
computer | компьютер
programming | программирование
hello | привет
goodbye | до свидания
thank you | спасибо
please | пожалуйста
yes | да
no | нет
maybe | возможно
I | я
you | ты
he | он
she | она
it | оно
we | мы
they | они
my | мой
your | твой
his | его
her | её
our | наш
their | их
book | книга
pen | ручка
paper | бумага
table | стол
chair | стул
door | дверь
key | ключ
phone | телефон
water | вода
food | еда
time | время
day | день
night | ночь
morning | утро
evening | вечер
week | неделя
month | месяц
year | год
big | большой
small | маленький
good | хороший
bad | плохой
happy | счастливый
sad | грустный
beautiful | красивый
ugly | уродливый
fast | быстрый
slow | медленный
hot | горячий
cold | холодный
new | новый
old | старый
young | молодой
red | красный
blue | синий
green | зелёный
yellow | жёлтый
black | чёрный
white | белый
run | бежать
walk | ходить
jump | прыгать
swim | плавать
read | читать
write | писать
speak | говорить
listen | слушать
see | видеть
hear | слышать
feel | чувствовать
think | думать
know | знать
understand | понимать
learn | учить
teach | преподавать
work | работать
play | играть
sleep | спать
eat | есть
drink | пить
go | идти
come | приходить
give | давать
take | брать
make | делать
help | помогать
love | любить
like | нравиться
want | хотеть
need | нуждаться
can | мочь
should | должен
will | буду
have | иметь
do | делать
be | быть
in | в
on | на
at | у
to | к
from | из
with | с
without | без
for | для
about | о
by | через
as | как
up | вверх
down | вниз
left | лево
right | право
front | перед
back | зад
under | под
over | над
between | между
among | среди
very | очень
too | слишком
so | так
quite | довольно
almost | почти
always | всегда
never | никогда
sometimes | иногда
often | часто
rarely | редко
now | сейчас
then | тогда
here | здесь
there | там
everywhere | везде
nowhere | нигде
someone | кто-то
something | что-то
everyone | все
everything | всё
nothing | ничего
anyone | кто-нибудь
anything | что-нибудь
family | семья
friend | друг
mother | мать
father | отец
brother | брат
sister | сестра
son | сын
daughter | дочь
child | ребёнок
children | дети
man | мужчина
woman | женщина
boy | мальчик
girl | девочка
people | люди
person | человек
teacher | учитель
student | студент
doctor | врач
engineer | инженер
driver | водитель
cook | повар
artist | художник
music | музыка
song | песня
movie | фильм
game | игра
sport | спорт
football | футбол
basketball | баскетбол
tennis | теннис
school | школа
university | университет
work | работа
office | офис
home | дом
city | город
country | страна
world | мир
sun | солнце
moon | луна
star | звезда
sky | небо
earth | земля
tree | дерево
flower | цветок
animal | животное
bird | птица
fish | рыба
good morning | доброе утро
good afternoon | добрый день
good evening | добрый вечер
good night | спокойной ночи
how are you | как дела
I love you | я тебя люблю
see you later | увидимся позже
happy birthday | с днём рождения
merry christmas | с рождеством
happy new year | с новым годом
excuse me | извините
I'm sorry | простите
no problem | нет проблем
you're welcome | пожалуйста
of course | конечно
I don't know | я не знаю
I don't understand | я не понимаю
can you help me | вы можете мне помочь
where is | где находится
how much | сколько
what time | во сколько
why not | почему нет
let's go | пойдём
wait a minute | подожди минуту
hurry up | поторопись
take care | береги себя
have a good day | хорошего дня
nice to meet you | приятно познакомиться
long time no see | давно не виделись
what's up | как ты
no way | не может быть
are you kidding | ты шутишь
I think so | я думаю да
I hope so | я надеюсь
that's great | это замечательно
that's terrible | это ужасно
what a pity | какая жалость
good luck | удачи
break a leg | ни пуха ни пера
piece of cake | проще простого
once in a blue moon | очень редко
the best of both worlds | лучшее из двух миров
speak of the devil | лёгок на помине
when pigs fly | когда рак свистнет
to kill two birds with one stone | убить двух зайцев
let the cat out of the bag | выдать секрет
judge a book by its cover | судить по внешности
bite the bullet | стиснуть зубы
feeling under the weather | плохо себя чувствовать
beat around the bush | ходить вокруг да около
cut corners | экономить на качестве
call it a day | закончить на сегодня
hit the nail on the head | попасть в точку
it's not rocket science | это не так сложно
miss the boat | упустить возможность
pull someone's leg | подшучивать над кем-то
the last straw | последняя капля
the elephant in the room | очевидная проблема
throw in the towel | сдаваться
taste of your own medicine | испытать на себе
wrap your head around something | понять что-то сложное
you can say that again | совершенно верно
your guess is as good as mine | я не знаю
a blessing in disguise | скрытое благословение
better late than never | лучше поздно чем никогда
birds of a feather flock together | рыбак рыбака видит издалека
cleanliness is next to godliness | чистота - залог здоровья
don't put all your eggs in one basket | не клади все яйца в одну корзину
every cloud has a silver lining | нет худа без добра
practice makes perfect | повторение - мать учения
the early bird catches the worm | кто рано встаёт, тому бог подаёт
when in Rome, do as the Romans do | в чужой монастырь со своим уставом не ходят